pnum	target_location	rt_space	rt_click	correct	background
007	3	2.065682e+01	2.761083e+00	1	practice
007	7	3.955104e+00	1.853608e+00	1	practice
007	8	2.139702e+00	1.702636e+00	1	practice
007	6	4.267548e+00	1.893331e+00	1	practice
007	1	5.940479e+00	1.527172e+00	1	practice
007	5	8.944663e+00	1.630250e+00	1	practice
007	2	3.585668e+00	1.486284e+00	1	practice
007	4	2.706530e+00	1.344007e+00	1	practice
007	1	1.487205e+01	1.726436e+00	1	background9.jpg
007	7	7.713087e+00	1.504661e+00	1	background9.jpg
007	2	2.091152e+01	1.365701e+00	1	background9.jpg
007	3	6.926699e+00	1.312076e+00	1	background9.jpg
007	6	9.689530e+01	1.613598e+00	1	background9.jpg
007	5	3.057514e+01	1.301413e+00	1	background9.jpg
007	8	5.330940e+00	1.502059e+00	1	background9.jpg
007	4	4.595837e+01	1.422106e+00	1	background9.jpg
007	8	4.924627e+00	2.253510e+00	0	background7.png
007	2	3.902318e+00	1.215336e+00	1	background7.png
007	1	4.390886e+00	1.341826e+00	1	background7.png
007	5	7.167714e+00	1.894567e+00	1	background7.png
007	7	2.940194e+00	1.358795e+00	1	background7.png
007	6	3.784561e+00	1.639537e+00	1	background7.png
007	4	6.733193e+00	1.391927e+00	1	background7.png
007	3	1.940239e+00	1.512894e+00	1	background7.png
007	7	3.875809e+00	1.765198e+00	1	background5.jpeg
007	5	1.804553e+01	1.503231e+00	1	background5.jpeg
007	6	9.130257e+00	1.294847e+00	1	background5.jpeg
007	8	4.559806e+00	1.263226e+00	1	background5.jpeg
007	3	1.802432e+00	1.462476e+00	1	background5.jpeg
007	1	1.264128e+00	1.129418e+00	1	background5.jpeg
007	2	1.571863e+00	1.320925e+00	1	background5.jpeg
007	4	1.601347e+01	1.382701e+00	1	background5.jpeg
007	5	7.493986e+00	1.358945e+00	1	background10.jpg
007	2	6.066466e+00	1.688087e+00	1	background10.jpg
007	4	3.467805e+00	1.645859e+00	1	background10.jpg
007	1	1.669378e+00	1.342969e+00	1	background10.jpg
007	8	1.554556e+01	1.302638e+00	1	background10.jpg
007	6	3.046062e+00	1.349416e+00	1	background10.jpg
007	3	1.390216e+00	1.669851e+00	1	background10.jpg
007	7	2.545799e+00	1.765712e+00	1	background10.jpg
007	1	3.456455e+00	1.558304e+00	1	background2.jpeg
007	8	3.315592e+00	1.311368e+00	1	background2.jpeg
007	2	4.783561e+00	1.312144e+00	1	background2.jpeg
007	5	3.554949e+00	1.239062e+00	1	background2.jpeg
007	3	1.396488e+00	1.517594e+00	1	background2.jpeg
007	4	1.505771e+01	1.399495e+00	1	background2.jpeg
007	6	3.707938e+00	1.503001e+00	1	background2.jpeg
007	7	9.477373e+00	1.560400e+00	1	background2.jpeg
007	6	1.445251e+00	1.687426e+00	1	background4.jpeg
007	1	2.290747e+00	1.656478e+00	1	background4.jpeg
007	7	1.430391e+00	1.262722e+00	1	background4.jpeg
007	2	1.813147e+00	1.269955e+00	1	background4.jpeg
007	3	1.197596e+00	1.334178e+00	1	background4.jpeg
007	4	1.503080e+00	1.415436e+00	1	background4.jpeg
007	5	2.204773e+00	1.159047e+00	1	background4.jpeg
007	8	4.642213e+00	1.301597e+00	1	background4.jpeg
007	1	2.354915e+00	1.285655e+00	1	background1.jpeg
007	6	4.480028e+00	1.415893e+00	1	background1.jpeg
007	7	4.574135e+00	1.319313e+00	1	background1.jpeg
007	4	6.068662e+00	2.415317e+00	1	background1.jpeg
007	5	1.809341e+00	1.199460e+00	1	background1.jpeg
007	3	1.931913e+00	1.351243e+00	1	background1.jpeg
007	2	9.759271e+00	1.373817e+00	1	background1.jpeg
007	8	4.154755e+00	1.559325e+00	1	background1.jpeg
007	3	3.161035e+00	1.336439e+00	1	background8.jpg
007	8	1.624640e+00	1.533936e+00	1	background8.jpg
007	7	2.765965e+00	1.288524e+00	1	background8.jpg
007	4	3.545392e+00	1.343843e+00	1	background8.jpg
007	2	4.143286e+00	1.361795e+00	1	background8.jpg
007	1	1.290995e+00	1.359370e+00	1	background8.jpg
007	5	2.000260e+00	1.221225e+00	1	background8.jpg
007	6	1.348914e+00	1.133713e+00	1	background8.jpg
007	2	5.268103e+00	1.198644e+00	1	background6.png
007	6	6.730477e+00	1.431069e+00	1	background6.png
007	7	3.068890e+00	1.183005e+00	1	background6.png
007	8	1.181297e+00	1.038442e+00	1	background6.png
007	5	2.667797e+00	1.654885e+00	1	background6.png
007	3	1.353910e+00	1.413795e+00	1	background6.png
007	4	2.043803e+00	1.389897e+00	1	background6.png
007	1	2.061370e+00	1.200582e+00	1	background6.png
